,Unnamed: 0,Age,Married,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges
21,21,37,Yes,,Yes,46.18,No,Fiber Optic,24.0,No,No,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,80.9,4557.5,2586.08
22,22,21,No,,Yes,14.26,No,DSL,53.0,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,50.15,762.25,228.16
23,23,44,No,Offer D,Yes,45.56,No,DSL,17.0,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,51.2,498.25,455.6
24,24,64,Yes,Offer B,Yes,16.67,Yes,Cable,17.0,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,69.4,3058.3,700.14
25,25,59,Yes,,Yes,30.1,No,,,,,,,,,,Two Year,Yes,Mailed Check,19.15,1177.05,1896.3
26,26,55,No,Offer E,No,,,DSL,2.0,No,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,39.5,210.75,0.0
27,27,43,Yes,Offer B,Yes,5.52,Yes,Fiber Optic,16.0,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.0,3769.7,253.92
28,28,49,No,Offer A,Yes,19.68,Yes,Fiber Optic,28.0,No,No,Yes,No,Yes,No,No,One Year,Yes,Bank Withdrawal,92.15,6056.9,1298.88
29,29,54,No,Offer E,Yes,15.51,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.9,20.9,15.51
30,30,22,No,Offer E,Yes,12.05,No,Fiber Optic,69.0,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,669.0,84.35
31,31,44,Yes,,Yes,8.94,Yes,DSL,27.0,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,3870.3,429.12
32,32,24,Yes,,Yes,22.78,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.35,1354.4,1640.16
33,33,54,No,,Yes,17.74,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.3,1447.9,1224.06
34,34,19,No,Offer E,No,,,Cable,30.0,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Mailed Check,48.25,202.25,0.0
35,35,46,Yes,Offer B,Yes,38.29,Yes,Fiber Optic,16.0,No,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,98.25,4858.7,1914.5
36,36,63,No,Offer D,Yes,3.84,No,,,,,,,,,,One Year,No,Credit Card,20.05,337.9,65.28
37,37,57,Yes,Offer D,Yes,1.21,Yes,Fiber Optic,16.0,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.9,2254.2,25.41
38,38,19,No,Offer D,No,,,DSL,59.0,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,25.35,566.1,0.0
39,39,57,Yes,,Yes,8.67,Yes,Cable,10.0,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,74.8,1821.2,208.08
40,40,50,No,Offer B,Yes,44.76,Yes,DSL,18.0,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,70.95,3629.2,2148.48
41,41,27,No,,Yes,20.44,No,Fiber Optic,59.0,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1483.25,327.04
42,42,45,Yes,,Yes,17.03,Yes,DSL,15.0,No,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Credit Card,69.55,3435.6,817.44
43,43,79,No,,Yes,28.14,Yes,Fiber Optic,10.0,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.3,2890.65,787.92
44,44,76,Yes,Offer D,Yes,24.42,No,Fiber Optic,29.0,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,70.2,834.7,268.62
45,45,40,Yes,Offer E,Yes,6.48,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,119.3,38.88
46,46,22,Yes,,Yes,48.02,Yes,,,,,,,,,,One Year,No,Credit Card,24.35,538.5,1104.46
47,47,49,No,,Yes,17.77,Yes,DSL,13.0,No,No,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,66.15,3199.0,870.73
48,48,19,Yes,Offer A,Yes,25.18,No,,,,,,,,,,Two Year,No,Credit Card,19.4,1346.2,1737.42
49,49,61,Yes,,Yes,39.97,Yes,Fiber Optic,17.0,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,78.85,3126.85,1598.8
50,50,72,Yes,,Yes,27.78,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,916.74
51,51,27,Yes,Offer A,Yes,3.86,Yes,Fiber Optic,85.0,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.15,7365.3,274.06
52,52,22,Yes,Offer B,No,,,DSL,59.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,62.15,3778.85,0.0
53,53,19,No,,Yes,49.81,No,DSL,41.0,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-7.0,84.5,99.62
54,54,79,No,Offer D,Yes,1.06,Yes,Fiber Optic,25.0,No,No,Yes,No,No,No,No,One Year,Yes,Credit Card,82.65,1470.05,18.02
55,55,26,No,Offer E,Yes,14.78,No,DSL,59.0,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.65,50.65,14.78
56,56,20,No,,Yes,19.64,No,Fiber Optic,71.0,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.8,3565.65,707.04
57,57,53,No,,No,,,DSL,2.0,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,29.15,110.05,0.0
58,58,28,No,Offer D,No,,,Cable,53.0,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-3.0,446.1,0.0
59,59,21,Yes,Offer D,Yes,42.98,No,DSL,30.0,Yes,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,61.15,1422.05,945.56
60,60,35,No,,Yes,26.43,Yes,Fiber Optic,13.0,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-7.0,1021.55,264.3
61,61,19,No,Offer C,Yes,49.87,Yes,Fiber Optic,48.0,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,86.65,2208.75,1296.62
62,62,24,Yes,Offer B,Yes,46.76,No,,,,,,,,,,Two Year,No,Credit Card,20.55,1305.95,2852.36
63,63,45,Yes,,Yes,43.84,No,,,,,,,,,,Two Year,Yes,Credit Card,19.15,515.75,1139.84
64,64,50,No,,Yes,47.73,Yes,Fiber Optic,25.0,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,100.75,4669.2,2243.31
65,65,40,No,,Yes,17.87,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,75.25,242.0,53.61
66,66,23,No,Offer E,Yes,48.84,No,DSL,41.0,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,123.65,146.52
67,67,63,No,Offer E,Yes,29.87,No,Fiber Optic,5.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,69.05,651.5,268.83
68,68,62,Yes,,Yes,39.5,Yes,Fiber Optic,16.0,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.8,2440.25,1145.5
69,69,53,No,,Yes,11.81,No,Fiber Optic,24.0,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.1,455.3,70.86
70,70,29,No,Offer B,Yes,24.17,No,,,,,,,,,,Two Year,No,Credit Card,19.5,1050.5,1281.01
71,71,21,Yes,,Yes,42.11,No,,,,,,,,,,One Year,No,Credit Card,19.1,1143.8,2568.71
72,72,47,No,,No,,,DSL,7.0,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,50.35,1277.5,0.0
73,73,61,Yes,Offer A,Yes,46.7,Yes,Fiber Optic,14.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.8,7553.6,3175.6
74,74,24,Yes,,Yes,48.64,Yes,Fiber Optic,30.0,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.65,301.4,194.56
75,75,41,Yes,Offer A,Yes,36.05,Yes,Fiber Optic,14.0,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,105.25,7609.75,2595.6
76,76,33,Yes,,Yes,49.48,Yes,Fiber Optic,11.0,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.1,4107.3,2127.64
77,77,54,Yes,,Yes,1.09,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,51.23
78,78,57,Yes,Offer B,Yes,33.54,Yes,Fiber Optic,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,113.3,5032.25,1509.3
79,79,29,No,Offer C,Yes,3.58,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.5,516.3,89.5
80,80,43,No,,Yes,48.93,Yes,,,,,,,,,,Two Year,No,Bank Withdrawal,23.4,1429.65,3033.66
81,81,49,No,,Yes,22.22,No,,,,,,,,,,Two Year,Yes,Credit Card,19.9,1355.1,1577.62
82,82,28,Yes,Offer A,Yes,39.09,Yes,Fiber Optic,69.0,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,97.2,6910.3,2775.39
83,83,23,Yes,Offer B,No,,,DSL,69.0,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.05,2452.7,0.0
84,84,67,No,,Yes,16.78,Yes,Fiber Optic,15.0,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.85,1471.75,318.82
85,85,69,Yes,,Yes,40.94,Yes,DSL,8.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,88.55,6306.5,2865.8
86,86,48,Yes,Offer B,Yes,11.53,Yes,,,,,,,,,,Two Year,No,Bank Withdrawal,25.45,1538.6,703.33
87,87,37,Yes,Offer A,Yes,46.16,Yes,Fiber Optic,14.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.9,8240.85,3323.52
88,88,52,No,Offer D,No,,,DSL,14.0,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,50.75,688.2,0.0
89,89,24,Yes,Offer D,Yes,1.88,No,,,,,,,,,,Two Year,Yes,Credit Card,19.65,451.55,43.24
90,90,59,Yes,Offer D,Yes,33.46,No,Fiber Optic,29.0,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15,1790.65,736.12
91,91,68,No,,Yes,48.43,Yes,DSL,28.0,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,54.9,3725.5,3244.81
92,92,39,Yes,Offer A,No,,,DSL,17.0,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,50.9,3281.65,0.0
93,93,33,Yes,Offer B,Yes,25.57,No,,,,,,,,,,Two Year,No,Credit Card,19.3,1192.7,1508.63
94,94,71,Yes,,Yes,47.01,Yes,Fiber Optic,19.0,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.2,1369.8,658.14
95,95,31,Yes,Offer A,Yes,9.33,Yes,,,,,,,,,,Two Year,No,Credit Card,25.4,1782.05,653.1
96,96,55,Yes,Offer A,Yes,33.37,Yes,DSL,9.0,No,Yes,Yes,Yes,Yes,No,No,Two Year,No,Credit Card,76.1,5264.25,2335.9
97,97,56,No,,No,,,DSL,57.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.75,24.75,0.0
98,98,72,No,Offer E,Yes,18.2,No,Fiber Optic,13.0,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,18.2
99,99,42,Yes,,Yes,6.19,Yes,Fiber Optic,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.25,8564.75,439.49
100,100,47,Yes,,Yes,1.38,No,Fiber Optic,16.0,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,69.95,320.4,6.9
101,101,44,No,,Yes,23.72,No,Fiber Optic,19.0,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.2,69.2,23.72
102,102,45,No,Offer B,Yes,26.25,No,,,,,,,,,,Two Year,No,Credit Card,20.1,1079.45,1417.5
103,103,69,Yes,,Yes,17.87,Yes,Fiber Optic,9.0,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.5,3807.35,911.37
104,104,79,No,,No,,,DSL,11.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.35,41.85,0.0
105,105,56,Yes,,Yes,39.98,Yes,,,,,,,,,,Two Year,No,Credit Card,-7.0,1849.2,2878.56
106,106,34,No,Offer D,Yes,33.79,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,75.25,888.65,371.69
107,107,62,Yes,Offer B,Yes,42.35,Yes,Fiber Optic,76.0,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.1,5645.8,2286.9
108,108,43,Yes,,Yes,3.79,No,Fiber Optic,14.0,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,89.7,4952.95,212.24
109,109,33,Yes,,Yes,7.49,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.9,19.9,7.49
110,110,79,No,,Yes,43.34,No,Fiber Optic,2.0,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,80.85,751.65,390.06
111,111,35,No,Offer B,Yes,49.48,Yes,Cable,9.0,No,No,Yes,No,No,No,No,Two Year,No,Credit Card,54.15,3116.15,2919.32
112,112,40,No,,Yes,26.85,No,Fiber Optic,11.0,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,84.6,84.6,26.85
113,113,60,No,,Yes,31.7,No,,,,,,,,,,Two Year,No,Credit Card,20.45,1024.65,1553.3
114,114,49,Yes,,Yes,15.15,Yes,Fiber Optic,28.0,Yes,No,Yes,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,99.4,5943.65,924.15
115,115,54,Yes,Offer B,Yes,31.96,No,Fiber Optic,26.0,Yes,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.05,4326.8,1661.92
116,116,44,No,,Yes,12.17,No,Fiber Optic,16.0,No,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,97.0,3021.3,365.1
117,117,32,No,,Yes,49.14,No,Fiber Optic,15.0,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.45,370.65,196.56
118,118,40,Yes,,Yes,11.67,Yes,Fiber Optic,26.0,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,7848.5,840.24
119,119,32,Yes,,No,,,DSL,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,65.65,4664.5,0.0
120,120,65,Yes,,No,,,DSL,23.0,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,53.0,3656.25,0.0
121,121,59,Yes,Offer A,Yes,26.91,No,Cable,30.0,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,65.85,4097.05,1776.06
122,122,40,Yes,Offer C,No,,,Cable,23.0,Yes,Yes,No,Yes,No,No,No,Month-to-Month,No,Credit Card,38.85,1025.15,0.0
123,123,58,No,Offer E,Yes,1.88,No,DSL,21.0,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,50.8,202.3,7.52
124,124,54,Yes,,Yes,28.73,No,,,,,,,,,,Month-to-Month,No,Mailed Check,19.45,19.45,28.73
125,125,74,No,,Yes,47.63,Yes,Fiber Optic,26.0,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.0,2497.2,1238.38
126,126,75,No,Offer E,Yes,40.45,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,323.6
127,127,45,No,Offer D,No,,,DSL,9.0,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,50.95,605.75,0.0
128,128,40,No,Offer B,No,,,DSL,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,58.75,3038.55,0.0
129,129,19,Yes,,No,,,Cable,82.0,Yes,No,No,Yes,No,No,No,One Year,Yes,Credit Card,35.8,1782.0,0.0
130,130,34,No,,Yes,43.26,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.85,953.45,432.6
131,131,20,No,Offer E,Yes,18.28,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,19.65,67.55,73.12
132,132,40,Yes,,Yes,29.93,Yes,Fiber Optic,24.0,No,No,No,No,Yes,No,No,Two Year,No,Bank Withdrawal,82.5,4828.05,1735.94
133,133,19,Yes,,Yes,46.47,No,,,,,,,,,,Two Year,No,Credit Card,19.35,278.85,697.05
134,134,19,No,,No,,,DSL,59.0,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,39.7,710.05,0.0
135,135,56,No,,Yes,23.89,No,DSL,14.0,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,46.0,221.7,119.45
136,136,31,Yes,,Yes,32.07,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.1,1068.85,320.7
137,137,34,Yes,,Yes,26.11,No,,,,,,,,,,One Year,Yes,Credit Card,20.55,184.95,287.21
138,138,76,No,,No,,,Cable,20.0,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,29.65,291.4,0.0
139,139,60,No,,Yes,42.05,Yes,Fiber Optic,12.0,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.15,2640.55,1303.55
140,140,23,No,Offer E,No,,,DSL,71.0,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,47.95,305.1,0.0
141,141,79,Yes,,Yes,42.95,No,DSL,30.0,Yes,Yes,No,No,No,Yes,No,One Year,Yes,Bank Withdrawal,-3.0,1339.8,901.95
142,142,53,Yes,,Yes,9.21,Yes,Fiber Optic,30.0,No,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card,90.35,4614.55,469.71
143,143,39,No,,Yes,12.92,No,Fiber Optic,24.0,No,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,89.65,2623.65,374.68
144,144,25,No,Offer C,Yes,16.38,Yes,Fiber Optic,82.0,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.2,1993.25,475.02
145,145,62,No,Offer B,Yes,26.21,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.75,1052.35,1389.13
146,146,45,Yes,,Yes,30.77,No,DSL,75.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,44.65,369.15,246.16
147,147,50,No,,Yes,44.92,Yes,Fiber Optic,16.0,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,90.4,4063.0,1976.48
148,148,60,Yes,Offer D,Yes,23.0,No,Fiber Optic,17.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,70.2,1046.5,322.0
149,149,67,Yes,,Yes,33.21,No,Fiber Optic,4.0,No,No,Yes,Yes,Yes,No,No,Two Year,No,Credit Card,88.8,4805.3,1826.55
150,150,23,No,,Yes,35.3,No,Fiber Optic,41.0,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,79.85,2001.0,847.2
151,151,47,No,,No,,,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Two Year,No,Credit Card,45.2,2460.55,0.0
152,152,26,No,,Yes,5.6,No,Cable,30.0,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,63.95,2737.05,240.8
153,153,61,Yes,Offer E,No,,,Cable,13.0,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.15,99.75,0.0
154,154,22,No,,Yes,31.03,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,85.45,85.45,31.03
155,155,62,No,Offer E,No,,,DSL,22.0,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Mailed Check,35.05,35.05,0.0
156,156,41,No,Offer E,Yes,31.68,No,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.6,90.6,31.68
157,157,64,Yes,,Yes,43.11,Yes,Fiber Optic,18.0,No,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,79.25,2619.15,1379.52
158,158,42,No,Offer A,Yes,18.47,Yes,DSL,28.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.35,5897.4,1274.43
159,159,27,No,,Yes,39.39,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,20.0,185.4,393.9
160,160,32,No,,Yes,7.83,Yes,Fiber Optic,19.0,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,81.3,3190.65,321.03
161,161,74,No,,Yes,13.8,Yes,Fiber Optic,6.0,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.75,606.25,110.4
162,162,37,No,,Yes,3.84,No,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.15,952.3,49.92
163,163,20,No,,No,,,DSL,73.0,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,35.65,425.1,0.0
164,164,22,No,,Yes,13.31,Yes,Cable,59.0,No,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,65.55,237.2,53.24
165,165,44,Yes,,No,,,Cable,25.0,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,49.35,3515.25,0.0
166,166,79,No,Offer A,Yes,28.88,Yes,DSL,11.0,Yes,Yes,No,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,64.55,4250.1,1934.96
167,167,52,No,,Yes,46.28,Yes,Fiber Optic,16.0,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.65,2104.55,1018.16
168,168,39,Yes,,Yes,24.81,Yes,Cable,24.0,No,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,72.1,4194.85,1463.79
169,169,29,No,,Yes,6.67,No,Fiber Optic,27.0,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,95.6,6.67
170,170,44,Yes,,Yes,47.24,No,,,,,,,,,,Two Year,No,Bank Withdrawal,20.05,1423.65,3401.28
171,171,52,Yes,Offer B,Yes,24.33,No,,,,,,,,,,Two Year,Yes,Credit Card,19.25,864.2,1119.18
172,172,37,Yes,,Yes,3.65,Yes,Fiber Optic,20.0,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.4,5435.6,211.7
173,173,35,Yes,,Yes,11.58,No,Fiber Optic,27.0,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,81.1,576.65,81.06
174,174,27,No,Offer D,Yes,22.01,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.3,275.4,286.13
